OBJECTID,Survey By,Date Audited,Type of Crosswalk,Width of Crosswalk,Cross Slope of Crosswalk,Crosswalk Paint Condition,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Asset ID,x,y
1,RL,6/13/2023 3:04:16 PM,L,10,<= 2%,P,2667456a-1707-4115-a04f-db172e8f0a02,ENORTON,6/22/2023 1:53:20 PM,ENORTON,7/25/2024 1:51:08 PM,CRW-02558,1736265.43614772,671594.557461306
2,CW,10/2/2023 8:01:36 PM,L,10,2% - 5%,P,e5e4167a-9076-4183-8ada-767f4d6f1ce0,ENORTON,10/9/2023 3:25:06 PM,ENORTON,7/15/2024 1:25:22 PM,CRW-01838,1747203.33815639,672482.454963729
3,JoS,8/17/2023 4:44:06 PM,L,10,2% - 5%,P,d6701587-b4c3-42f8-abd8-55ce437214f2,ENORTON,8/21/2023 4:38:46 PM,ENORTON,7/15/2024 2:43:01 PM,CRW-01515,1734609.15337105,661498.782705396
4,JE,6/21/2023 3:39:03 PM,T,8,2% - 5%,P,35da8238-790d-45fc-ac47-ff59c25d7dbe,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 1:10:40 PM,CRW-00559,1737446.10865514,667551.03339614
5,JS,6/1/2023 5:30:17 PM,L,10,2% - 5%,P,8f99f75c-ccac-4827-9dc9-f33b75a10b5b,ENORTON,6/5/2023 11:20:39 PM,ENORTON,7/25/2024 2:25:53 PM,CRW-00277,1737786.62569064,665046.798575222
6,CW,6/22/2023 8:39:14 PM,L,10,2% - 5%,F,31976000-e7b0-4cd2-981b-8044182d7510,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 12:59:47 PM,CRW-00591,1737424.89675531,664387.801205561
7,SD,10/12/2023 1:58:30 PM,L,10,> 5%,G,82514aa1-cffc-48b5-8459-b0329b3862d6,ENORTON,10/19/2023 3:36:47 PM,ENORTON,10/19/2023 3:36:47 PM,CRW-01890,1724934.51589622,665608.296139896
8,CW,5/30/2023 3:02:16 PM,L,10,2% - 5%,G,dd8a24c1-bcb5-4765-bdc3-fd4f4c19349b,ENORTON,6/5/2023 11:20:39 PM,ENORTON,7/25/2024 2:25:53 PM,CRW-00235,1738430.61849713,666497.05879806
9,JoS,7/24/2023 3:41:27 PM,T,10,2% - 5%,P,2ef279f1-1285-45aa-bff3-a62dcb24b2c4,ENORTON,8/1/2023 6:23:49 PM,ENORTON,7/16/2024 4:41:23 PM,CRW-01145,1727000.44942839,662271.291987151
10,JE,6/21/2023 2:57:08 PM,T,8,2% - 5%,P,41b37ded-f985-4bc1-8684-9df771da9f2e,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 1:10:40 PM,CRW-00555,1737824.35691439,667733.306325555
11,RL,6/6/2023 12:31:12 PM,T,10,2% - 5%,G,ffa1e10f-a436-488a-b267-87208ca662cb,ENORTON,6/22/2023 1:48:41 PM,ENORTON,7/25/2024 2:25:53 PM,CRW-00314,1733866.91141722,673539.873780638
12,TO,4/26/2023 3:49:24 PM,L,5,2% - 5%,G,fcb54497-ce78-47de-b1f5-2ce98ed48342,VDR-JOMARTIN,5/1/2023 6:28:21 PM,ENORTON,7/25/2024 3:19:15 PM,CRW-00046,1733802.67663756,670600.002691895
13,KB,8/15/2023 12:37:15 PM,L,10,> 5%,G,49bfc25e-95af-407f-8a6d-0567fc4b0eff,ENORTON,8/21/2023 4:38:46 PM,ENORTON,8/21/2023 4:38:46 PM,CRW-01459,1731983.93880522,657386.740076482
14,CW,5/30/2023 1:14:01 PM,L,10,<= 2%,F,ce420173-d781-424b-9964-ea6b70855776,ENORTON,6/5/2023 11:20:39 PM,ENORTON,7/25/2024 2:36:41 PM,CRW-00211,1739057.56671831,666186.543671057
15,LN,7/4/2023 1:51:07 PM,L,10,2% - 5%,G,c903f08e-dbd6-4cd5-bda2-ea3c7cee72e0,ENORTON,7/11/2023 5:30:19 PM,ENORTON,7/25/2024 12:33:36 PM,CRW-00925,1736285.36392939,652910.86024873
16,LW,8/3/2023 12:49:05 PM,L,10,<= 2%,F,1483ee2f-d784-427a-9188-8b100646b1eb,ENORTON,8/8/2023 12:17:10 PM,ENORTON,7/16/2024 4:20:00 PM,CRW-01279,1729878.58442013,663204.201210558
17,SD,8/1/2023 1:17:00 PM,L,10,<= 2%,P,b472cd5c-d746-4610-90c9-cc00fa4a6337,ENORTON,8/8/2023 12:17:10 PM,ENORTON,7/16/2024 4:27:35 PM,CRW-01220,1733513.39572005,657418.394212648
18,TR,9/6/2023 8:14:09 PM,T,6,<= 2%,F,cb04e3a9-276b-47f3-be18-871192d24477,ENORTON,9/11/2023 4:05:50 PM,ENORTON,7/15/2024 1:47:09 PM,CRW-01719,1713618.48636296,649759.752377734
19,JE,6/12/2023 7:23:09 PM,L,10,2% - 5%,G,d3cf05f5-6f08-4a67-9a79-092c466fe902,ENORTON,6/22/2023 1:53:20 PM,ENORTON,7/25/2024 1:51:08 PM,CRW-00383,1737523.8079748,668330.476062983
20,AD,7/12/2023 1:35:06 PM,L,20,<= 2%,G,b07ae88a-2ce4-40aa-8d25-6e8a2ff16dfb,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/16/2024 4:56:47 PM,CRW-01046,1733595.35028055,655664.449229732
21,JSw,9/18/2023 4:04:11 PM,L,11,<= 2%,G,4698a67e-e428-49c6-a453-04f66c3f13f4,ENORTON,9/28/2023 2:05:56 PM,ENORTON,7/11/2024 3:54:49 PM,CRW-01748,1751414.86549447,649326.836576894
22,LW,9/25/2023 12:49:03 PM,L,11,<= 2%,P,ac1caba8-d5a3-42d9-90ae-abb31e59edb4,ENORTON,10/2/2023 4:52:19 PM,ENORTON,7/15/2024 1:25:22 PM,CRW-01794,1748428.40690047,647880.361779556
23,MT,5/26/2023 2:39:09 PM,L,10,<= 2%,F,62eb933d-a618-4b00-8f6f-a87afb75a6da,ENORTON,5/30/2023 5:31:38 PM,ENORTON,7/25/2024 2:36:41 PM,CRW-00188,1743045.19194514,668392.417868227
24,JoS,7/11/2023 4:30:22 PM,L,10,2% - 5%,G,b8a42002-4ee7-4fa3-8c85-384db0557b09,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/15/2024 5:35:03 PM,CRW-01033,1730424.89303881,661498.919516146
25,CW,7/10/2023 8:53:14 PM,L,10,2% - 5%,F,87be3429-b1f4-4567-a91a-c4fa8bbc1e3a,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/16/2024 4:59:06 PM,CRW-01011,1729582.71066806,668774.520122394
